iter	Passed	Remaining
904	1798	188
905	1801	186
906	1803	184
907	1805	182
908	1808	181
909	1810	179
910	1813	177
911	1815	175
912	1817	173
913	1818	171
914	1823	169
915	1825	167
916	1827	165
917	1829	163
918	1830	161
919	1832	159
920	1835	157
921	1837	155
922	1840	153
923	1843	151
924	1846	149
925	1849	147
926	1852	145
927	1854	143
928	1856	141
929	1858	139
930	1859	137
931	1861	135
932	1865	133
933	1867	131
934	1868	129
935	1870	127
936	1871	125
937	1873	123
938	1874	121
939	1877	119
940	1879	117
941	1881	115
942	1884	113
943	1885	111
944	1887	109
945	1888	107
946	1891	105
947	1893	103
948	1895	101
949	1896	99
950	1898	97
951	1899	95
952	1901	93
953	1903	91
954	1906	89
955	1908	87
956	1910	85
957	1912	83
958	1913	81
959	1914	79
960	1916	77
961	1917	75
962	1921	73
963	1923	71
964	1925	69
965	1926	67
966	1928	65
967	1929	63
968	1931	61
969	1933	59
970	1936	57
971	1938	55
972	1939	53
973	1941	51
974	1942	49
975	1944	47
976	1947	45
977	1950	43
978	1952	41
979	1954	39
980	1956	37
981	1958	35
982	1960	33
983	1964	31
984	1966	29
985	1968	27
986	1970	25
987	1972	23
988	1973	21
989	1978	19
990	1980	17
991	1983	15
992	1985	13
993	1987	11
994	1989	9
995	1993	8
996	1995	6
997	1997	4
998	1998	2
999	2000	0
